candidate_name,sold_count_90d,median_price,p25_price,p75_price,price_stability,score,score_safe,pct_auction,pct_new,pct_used,pct_for_parts,pct_unknown,top5_titles
BMW F80 M3 carbon bonnet,239,88.99,49.24,172.5,2.438,20.368,20.368,0.0,85.4,14.6,0.0,0.0,BMW M3 M4 F80 F82 F83 Full Lightweight Carbon Fibre Front Bumper ; For BMW F80 M3 F30 3 Series 2012-19 Carbon Fiber Rear Trunk Boot Lid Cover Trim (For: BMW M3) ; Real Carbon Fibre Bonnet Engine Hood Lid Cover BMW F80 M3 F82 F83 M4 2014-2019 ; NEW BMW M2 F87 M3 F80 M4 F82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11122413815 ; BMW M3 M4 F80 F82 GTS STYLE REAL CARBON FIBRE BONNET NEW
BMW M4 GTS carbon front lip,94,53.49,44.99,79.98,1.553,20.152,20.152,6.4,96.8,3.2,0.0,0.0,BMW F82 M4 M PERFORMANCE CARBON BODYKIT FRONT LIP REAR DIFFUSER SPOILER 2013-18 (For: BMW M4 GTS) ; For BMW F80 M3 F82 F83 M4 2014-2020 Real Carbon Front Bumper Lip Chin Spoiler (For: BMW M4 GTS) ; BMW M3 M4 Carbon Fibre Front Lip Splitter M Performance F80 F82 F83 by UKCarbon (For: BMW M4 GTS) ; Real Carbon Front Bumper Lip Spoiler Splitters For BMW F82 F83 M4 F80 M3 2014-19 (For: BMW M4 GTS) ; Fit For BMW F82 F83 M4 2014-2019 Real Carbon Side Skirts Extension Lip Spoiler (For: BMW M4 GTS)
Akrapovic exhaust BMW F87 M2 Competition,232,149.99,99.95,237.74,3.291,19.687,19.687,0.0,80.2,19.8,0.0,0.0,BMW M2 / M3 / M4 F80 F82 F83 F87 – BTCC Big Brake Kit – AP Racing CP9660 Complet ; Akrapovic Exhaust & Sound Kit Slip-On Line (Titanium) BMW M2 F87 Competition ; BMW F80 M3 M4 Akrapovic Titanium Exhaust System With Carbon Fibre Tips ; Milltek BMW M5 F90 Exhaust System Inc Competition Axle Back 80mm Black SSXBM1175 ; BMW M2 Competition F87 Milltek Exhaust Equal Length LOUDEST Carbon Tip SSXBM1139 (For: BMW M2 Competition)
BMW M Performance carbon rear diffuser F80 M3,242,75.99,48.98,175.21,2.557,18.019,18.019,0.4,88.0,11.6,0.0,0.4,BMW M5 G90 M Performance Carbon Fibre Rear Bumper Diffuser Set - 51755B6E579/580 ; NEW BMW M2 F87 M3 F80 M4 F82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11122413815 ; GENUINE BMW G80 G82 M3 M4 M Performance Carbon Fibre Rear Diffuser 51128075031 ; Genuine BMW M Performance Carbon Fibre Rear Diffuser For G80 G81 G82 (BNIB) ; BMW M3 G80 M4 G82 G83 Carbon Fibre Front Splitter Lip M Performance by UKCarbon (For: BMW M3)
BMW M Performance exhaust F30 335i,235,85.0,49.99,189.99,2.849,17.085,17.085,0.4,77.9,21.7,0.0,0.4,"BMW M135i F20/F21 - Back Box Muffler Delete - Performance Exhaust ; BMW M3 M4 F80 F82 MPE M Performance Full Titanium Exhaust ; Downpipe DPF BMW N57 F30 F31 F34 F32 F33 F36 330D 335D 430D 435D Dx Xd 258 313 ; BMW Genuine F22/F23 M235i M Performance Exhaust With Chrome Tips 18302293766 ; 3"" CAT BACK VALVED EXHAUST SYSTEM STAINLESS FOR BMW 1 SERIES M140i F20 F21 16-19 (For: BMW)"
Bilstein B16 coilovers BMW E92 M3,237,52.8,21.99,160.99,3.413,11.32,11.32,0.0,79.7,19.8,0.0,0.4,"BC Racing BR-Series Coilovers for BMW M3 E92,E93 06-13 - Coupe ; BC Racing BR RA Coilovers for BMW E36 3 Series 92-98 323 328 (Excl M3) ; Bilstein B14 PSS Coilovers For BMW E90 / E92 330i / 330d / 335i / 335d & M Sport ; 47-120471 - Bilstein B14 PSS Coilover Kit For BMW E90 / E92 335i / 335d ; Bilstein B14 PSS Coilovers For BMW E90 / E92 330i / 330d / 335i / 335d & M Sport"
BMW M Performance carbon mirror caps G20 G80,236,52.18,28.57,180.67,3.587,10.714,10.714,0.0,87.3,12.7,0.0,0.0,"NEW BMW M2 G87 M3 G80 M4 G82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11145B311A3 ; GENUINE BMW G26 4 Series, i4, M Performance Front Splitter 51195A36851 Carbon. X ; GENUINE BMW M2 G87 Carbon Fibre M Performance 51195A44DE2 / DE7. SIDE PAIR. 2X ; Genuine BMW M Performance CarbonFibre Dash Alcantara 51459642617 G30 G20 G42 G80 ; Genuine BMW G20 & G21 LCI M Performance Carbon Splitter (Pair)51.19.5.A4B.368/69"
Eisenmann exhaust BMW E92 M3,222,60.03,20.71,149.99,3.994,10.232,10.232,0.0,63.1,36.5,0.0,0.5,BMW E92 M3 Carbon Airbox And Plenum- Karbonius ; BMW E92 M3 CARBON FIBRE INTAKE PLENUM ; BMW 3 SERIES M3 E90-E92-E93 REAR DRIVESHAFT OFF/SIDE 2007>2013 (For: BMW [E92] M3) ; Scorpion M3 Exhaust E92 E90 Stainless Steel Half System Quad Daytona SBMB062 (For: BMW [E92] M3) ; BMW E90 E92 E93 M3 Diff Differential LSD 3.15 DCT 2283320 (For: BMW [E92] M3)
BMW M Performance carbon rear spoiler F80 M3,249,54.99,37.88,125.49,4.537,8.829,8.829,0.0,93.2,6.8,0.0,0.0,For 14-18 BMW F80 M3 M-Performance Extended CARBON FIBER Side Skirts Extension ; For 14-18 BMW F80 M3 Performance Style CARBON FIBER Side Skirts Panel Extension ; NEW BMW M2 F87 M3 F80 M4 F82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11122413815 ; Genuine BMW front splitter-bumper spoiler fits BMW F80/82/LCI M3/M4 51192410360 ; BMW M2/M3/M4 F80/F82/F87 CARBON FIBRE SPOILER - V3
BMW NBT Evo iD6 retrofit,228,59.73,20.32,299.25,5.13,8.029,8.029,0.0,44.7,54.8,0.0,0.4,BMW NBT EVO ID6 Touch Screen Apple CarPlay + 6WB Cluster F30 F32 F34 F35 GT M3 ; BMW OEM i3 l01 NBT EVO ID6 GPS DAB+ Multimedia Infotainment Apple CarPlay 10.25 ; MINI OEM NBT EVO ID6 Apple CarPlay Touch Screen Multimedia F55 F56 F54 F57 F60 ; BMW OEM NBT EVO ID6 DAB+ GPS Touch Screen Apple CarPlay F30 F31 F34 F36 GT M3 ; BMW OEM NBT ID6 EVO F20 F21 F22 F23 F87 M Multimedia Apple CarPlay Infotainment
